Index,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Country,Date
0,vaini,-21.2,-175.2,80.6,83,90,14.99,TO,1601427529
1,ushuaia,-54.8,-68.3,33.8,80,40,13.87,AR,1601427529
2,hobart,-42.88,147.33,62.01,62,75,11.41,AU,1601427301
3,busselton,-33.65,115.33,62.01,82,99,10.42,AU,1601427530
4,oksfjord,70.24,22.35,44.6,93,45,13.87,NO,1601427530
5,barrow,71.29,-156.79,33.8,80,90,10.29,US,1601427530
6,chacabuco,-34.64,-60.47,61,71,0,10,AR,1601427531
7,mataura,-46.19,168.86,42.71,94,100,5.41,NZ,1601427384
8,saint-ambroise,48.55,-71.33,59,82,90,12.75,CA,1601427531
9,dikson,73.51,80.55,35.42,83,100,16.17,RU,1601427376
10,waddan,29.16,16.14,75.15,70,0,10.65,LY,1601427532
11,saskylakh,71.92,114.08,27.95,96,3,5.57,RU,1601427532
12,rikitea,-23.12,-134.97,70.25,79,71,21.85,PF,1601427533
13,tiksi,71.69,128.87,34.18,96,100,17.96,RU,1601427533
14,sumbawanga,-7.97,31.62,60.62,75,22,3.31,TZ,1601427533
15,fort-shevchenko,44.51,50.26,60.26,45,0,17.09,KZ,1601427534
16,rudbar,30.15,62.6,54.99,37,10,8.88,AF,1601427534
17,talnakh,69.49,88.4,32,97,0,8.95,RU,1601427534
18,atuona,-9.8,-139.03,78.55,72,0,17.43,PF,1601427535
19,wajima,37.4,136.9,66.2,88,75,5.82,JP,1601427535
20,hilo,19.73,-155.09,84.2,70,1,11.41,US,1601427536
21,cabo san lucas,22.89,-109.91,89.01,58,5,6.93,MX,1601427520
22,hermanus,-34.42,19.23,45,92,39,4.07,ZA,1601427536
23,castro,-24.79,-50.01,63.63,94,3,4.61,BR,1601427536
24,avarua,-21.21,-159.78,78.8,78,38,25.28,CK,1601427249
25,komsomolskiy,40.43,71.72,55.4,58,100,2.24,UZ,1601427537
26,east london,-33.02,27.91,58.5,69,71,2.68,ZA,1601427537
27,mocuba,-16.84,36.99,71.74,80,28,3.87,MZ,1601427538
28,majene,-3.54,118.97,82.54,71,69,9.51,ID,1601427538
29,jamestown,42.1,-79.24,60.01,81,90,6.93,US,1601427397
30,maniitsoq,65.42,-52.9,28.98,88,28,8.32,GL,1601427383
31,bredasdorp,-34.53,20.04,50,81,10,1.12,ZA,1601427539
32,folldal,62.13,10,48.54,85,96,7.05,NO,1601427539
33,do gonbadan,30.36,50.8,71.6,53,0,3.24,IR,1601427539
34,ribeira grande,38.52,-28.7,66.43,70,1,10.6,PT,1601427540
35,bluff,-46.6,168.33,48.42,81,84,17.49,NZ,1601427540
36,puerto ayora,-0.74,-90.35,68,89,83,5.99,EC,1601427464
37,albany,42.6,-73.97,61,81,100,3.44,US,1601427443
38,snasa,64.25,12.38,53.98,83,99,5.14,NO,1601427540
39,snezhnogorsk,69.19,33.25,35.6,100,90,8.46,RU,1601427541
